"File_name","Method/API","Enums/Constants/Arrays","Description/Usage","Invoking_Syntax","Parameters","Parameter_Dtypes","Parameter_Description","Return_Dtype","Return_Description"
"ConnectionHandle.h","ToString()",,"Converts the ConnectionHandle object into a displayable string format.","ToString()","None","None","No parameters required.","std::string","Provides a human-readable string format of the connection handle."
"ConnectionHandle.h","operator==(lhs, rhs)",,"Compares two ConnectionHandle objects for equality.","operator==(lhs, rhs)","lhs, rhs","ConnectionHandle &, ConnectionHandle &","References to ConnectionHandle objects being compared.","bool","Returns true if objects are equal; false otherwise."
"ConnectionHandle.h",,"std::string module","Represents the name of the support module (e.g., EVB7COM, EVB7STREAM).","Not applicable","Not applicable","Not applicable","Member variable, not a function.","Not applicable","Member variable, holds module name."
"ConnectionHandle.h",,"std::string media","Represents the connection media type (e.g., SPI, COM, USB).","Not applicable","Not applicable","Not applicable","Member variable, not a function.","Not applicable","Member variable, holds media type."
"ConnectionHandle.h",,"std::string name","Represents the device name (e.g., STREAM, NOVENA).","Not applicable","Not applicable","Not applicable","Member variable, not a function.","Not applicable","Member variable, holds device name."
"ConnectionHandle.h",,"std::string addr","Represents an address such as a URL, IP address, or similar.","Not applicable","Not applicable","Not applicable","Member variable, not a function.","Not applicable","Member variable, holds address string."
"ConnectionHandle.h",,"std::string serial","Represents a serial number unique to a particular device.","Not applicable","Not applicable","Not applicable","Member variable, not a function.","Not applicable","Member variable, holds serial number."
"ConnectionHandle.h",,"long long index","Represents an internal index that may enumerate device handles.","Not applicable","Not applicable","Not applicable","Member variable, not a function.","Not applicable","Member variable, holds internal index."
"ConnectionRegistry.h","findConnections",,"Discovers available connection handles based on optional hints.","findConnections(hint)","hint","ConnectionHandle","An optional handle with some fields pre-filled.","std::vector<ConnectionHandle>","List of connection handles that can be used to establish connections."
"ConnectionRegistry.h","makeConnection",,"Creates a connection instance from a specified handle.","makeConnection(handle)","handle","ConnectionHandle","Handle with necessary details filled-in to create a connection.","IConnection*","Pointer to the created connection instance or null."
"ConnectionRegistry.h","freeConnection",,"Frees the memory for a previously created connection instance.","freeConnection(conn)","conn","IConnection*","Pointer to the connection instance to be freed.","void","Releases the connection resource."
"ConnectionRegistry.h","moduleNames",,"Returns a list of names of available registry entry modules.","moduleNames()","None","None","No parameters required.","std::vector<std::string>","List of module names available in the registry."
"ConnectionRegistry.h","ConnectionRegistryEntry",,"Constructor that registers a new connection type in the registry.","ConnectionRegistryEntry(name)","name","std::string","Unique name describing the connection type.","None","Registers the connection type in the registry."
"ConnectionRegistry.h","~ConnectionRegistryEntry",,"Destructor that unregisters the connection type.","~ConnectionRegistryEntry()","None","None","No parameters required.","None","Unregisters the connection type from the registry."
"ConnectionRegistry.h","enumerate",,"Discovers connection handles that match a given hint.","enumerate(hint)","hint","ConnectionHandle","Handle with hints for discovery.","std::vector<ConnectionHandle>","List of discovered handles based on the provided hint."
"ConnectionRegistry.h","make",,"Creates a connection instance for the specified handle.","make(handle)","handle","ConnectionHandle","Handle with necessary details for creating the connection.","IConnection*","Pointer to the created connection instance."
"ConnectionRegistry.h","_name","std::string","Represents the name of the connection type in the registry.","Not applicable","Not applicable","Not applicable","A private member variable, not an API.","Not applicable","Holds the name of the registered connection type."
"dataTypes.h","SamplesPacket()",,"Constructor to initialize the SamplesPacket object with an optional size.","SamplesPacket(int size = 0)","size","int","Size of the allocated samples array.","None","Creates a SamplesPacket object."
"dataTypes.h","SamplesPacket(pkt&&)",,"Move constructor for transferring resources from another SamplesPacket.","SamplesPacket(SamplesPacket &&pkt)","pkt","SamplesPacket&&","Temporary SamplesPacket object to transfer resources from.","None","Transfers ownership of the resources."
"dataTypes.h","operator=(pkt&&)",,"Move assignment operator for transferring resources between SamplesPacket.","SamplesPacket& operator=(SamplesPacket &&pkt)","pkt","SamplesPacket&&","Temporary SamplesPacket object to transfer resources from.","SamplesPacket&","Transfers ownership and returns a reference to the current object."
"dataTypes.h","~SamplesPacket()",,"Destructor to release resources allocated within the SamplesPacket object.","~SamplesPacket()","None","None","No parameters required.","None","Frees memory allocated for the samples array."
"dataTypes.h",,"FPGA_DataPacket","Struct defining an FPGA data packet with a counter and data buffer.","Not applicable","Not applicable","Not applicable","Contains reserved space, a counter, and a data buffer for 4080 bytes.","Not applicable","Struct definition, used for FPGA data storage."
"dataTypes.h",,"complex16_t","Struct for representing complex numbers with 16-bit integer components.","Not applicable","Not applicable","Not applicable","Includes int16_t fields for the real (i) and imaginary (q) parts.","Not applicable","Struct definition, used for complex number representation."
"dataTypes.h",,"samples12InPkt","Constant for the number of 12-bit samples in a packet.","Not applicable","Not applicable","Not applicable","Defines the size as 1360 samples.","Not applicable","Constant definition."
"dataTypes.h",,"samples16InPkt","Constant for the number of 16-bit samples in a packet.","Not applicable","Not applicable","Not applicable","Defines the size as 1020 samples.","Not applicable","Constant definition."
"fifo.txt","BufferInfo",,"Struct for storing buffer-related statistics like size, items filled, overflow, and underflow counts.","Not applicable","Not applicable","Not applicable","Member variable structure with fields for size, itemsFilled, overflow, and underflow.","Not applicable","Struct definition used to hold buffer statistics."
"fifo.txt","StreamFlags","SYNC_TIMESTAMP, END_BURST","Enum for stream flags including synchronization and burst-ending signals.","Not applicable","Not applicable","Not applicable","Member variable enumeration with flags for stream behavior.","Not applicable","Enum definition used for flags in sample insertion and retrieval."
"fifo.txt","GetInfo()",,"Retrieves information about FIFO size and fullness, and resets overflow and underflow counters.","BufferInfo GetInfo()","None","None","No parameters required.","BufferInfo","Returns buffer statistics like size, items filled, and counters for overflow/underflow."
"fifo.txt","RingFIFO()",,"Constructor for initializing FIFO memory with default values.","RingFIFO()","None","None","No parameters required.","None","Initializes the FIFO buffer with default values."
"fifo.txt","~RingFIFO()",,"Destructor for releasing FIFO memory resources.","~RingFIFO()","None","None","No parameters required.","None","Frees allocated FIFO memory and resources."
"fifo.txt","push_packet()",,"Inserts a packet into the FIFO buffer in a thread-safe manner.","void push_packet(SamplesPacket &packet)","packet","SamplesPacket&","Reference to a SamplesPacket object containing data to be inserted.","void","Adds the packet to the FIFO buffer."
"fifo.txt","push_samples()",,"Inserts samples into the FIFO buffer with thread safety and optional timeout.","uint32_t push_samples(complex16_t *buffer, uint32_t samplesCount, uint64_t timestamp, uint32_t timeout_ms, uint32_t flags)","buffer, samplesCount, timestamp, timeout_ms, flags","complex16_t*, uint32_t, uint64_t, uint32_t, uint32_t","Data array, sample count, timestamp, timeout duration, and optional flags for samples.","uint32_t","Returns the number of samples successfully inserted into the FIFO buffer."
"fifo.txt","pop_samples()",,"Retrieves samples from the FIFO buffer in a thread-safe manner.","uint32_t pop_samples(complex16_t *buffer, uint32_t samplesCount, uint64_t *timestamp, uint32_t timeout_ms)","buffer, samplesCount, timestamp, timeout_ms","complex16_t*, uint32_t, uint64_t*, uint32_t","Destination buffer array, sample count, timestamp, and timeout duration.","uint32_t","Returns the number of samples successfully retrieved from the FIFO buffer."
"fifo.txt","pop_packet()",,"Retrieves a packet from the FIFO buffer in a thread-safe manner.","void pop_packet(SamplesPacket &packet)","packet","SamplesPacket&","Reference to a SamplesPacket object to store the retrieved packet.","void","Retrieves a packet from the FIFO buffer and stores it in the given object."
"fifo.txt","Resize()",,"Adjusts the size of the FIFO buffer and its packet size.","void Resize(int pktSize, int bufSize = -1)","pktSize, bufSize","int, int","Packet size and buffer size for resizing the FIFO buffer.","void","Resizes the FIFO buffer memory allocation."
"fifo.txt","Clear()",,"Clears the FIFO buffer by resetting its internal counters and indices.","void Clear()","None","None","No parameters required.","void","Resets all FIFO buffer counters and indices."
"FPGA_common.h","FPGA()",,"Constructor to initialize the FPGA object.","FPGA()","None","None","No parameters required.","None","Initializes the FPGA object."
"FPGA_common.h","~FPGA()",,"Virtual destructor to release FPGA-related resources.","~FPGA()","None","None","No parameters required.","None","Cleans up FPGA object resources."
"FPGA_common.h","SetConnection(conn)",,"Associates a connection object with the FPGA instance.","SetConnection(IConnection* conn)","conn","IConnection*","Pointer to the connection object.","void","Sets the connection to the FPGA object."
"FPGA_common.h","GetConnection()",,"Returns the current connection object associated with the FPGA instance.","IConnection* GetConnection()","None","None","No parameters required.","IConnection*","Pointer to the currently associated connection object."
"FPGA_common.h","StartStreaming()",,"Initiates streaming operations on the FPGA instance.","int StartStreaming()","None","None","No parameters required.","int","Returns success or failure code for the streaming operation."
"FPGA_common.h","StopStreaming()",,"Terminates streaming operations on the FPGA instance.","int StopStreaming()","None","None","No parameters required.","int","Returns success or failure code for stopping streaming."
"FPGA_common.h","ResetTimestamp()",,"Resets the internal timestamp of the FPGA instance.","int ResetTimestamp()","None","None","No parameters required.","int","Returns success or failure code for the reset operation."
"FPGA_common.h","UploadWFM(samples, ...)",,"Uploads waveform samples to the FPGA for transmission.","int UploadWFM(const void* const* samples, ...)","samples, chCount, sample_count, format, epIndex","void*, uint8_t, size_t, StreamConfig::StreamDataFormat, int","Pointer to waveform data, channel count, sample count, data format, and endpoint index.","int","Returns success or failure code for waveform upload."
"FPGA_common.h","DetectRefClk(fx3Clk)",,"Detects the reference clock frequency.","double DetectRefClk(double fx3Clk = 100e6)","fx3Clk","double","Optional reference clock frequency input.","double","Returns the detected reference clock frequency."
"FPGA_common.h","FPGAPacketPayload2Samples(...)",,"Converts FPGA packet payload into sample data.","int FPGAPacketPayload2Samples(const uint8_t* buffer, ...)","buffer, bufLen, mimo, compressed, samples","uint8_t*, int, bool, bool, complex16_t**","Input buffer, buffer length, MIMO flag, compressed flag, and output samples.","int","Returns success or failure code for the conversion operation."
"FPGA_common.h","Samples2FPGAPacketPayload(...)",,"Converts sample data into FPGA packet payload.","int Samples2FPGAPacketPayload(const complex16_t* const* samples, ...)","samples, samplesCount, mimo, compressed, buffer","complex16_t*, int, bool, bool, uint8_t*","Input samples, sample count, MIMO flag, compressed flag, and output buffer.","int","Returns success or failure code for the conversion operation."
"FPGA_common.h","WriteRegisters(addrs, data, cnt)",,"Writes to multiple FPGA registers based on provided addresses and data values.","int WriteRegisters(const uint32_t *addrs, const uint32_t *data, unsigned cnt)","addrs, data, cnt","uint32_t*, uint32_t*, unsigned","Arrays of addresses and data, and the count of registers to write to.","int","Returns success or failure code for the write operation."
"FPGA_common.h","ReadRegisters(addrs, data, cnt)",,"Reads from multiple FPGA registers based on provided addresses.","int ReadRegisters(const uint32_t *addrs, uint32_t *data, unsigned cnt)","addrs, data, cnt","uint32_t*, uint32_t*, unsigned","Array of addresses to read from, output data array, and count of registers to read.","int","Returns success or failure code for the read operation."
"IConnection.h","IConnection()",,"Constructor to initialize the connection interface for Lime RFIC devices.","IConnection()","None","None","No parameters required.","None","Constructs a connection object."
"IConnection.h","~IConnection()",,"Virtual destructor to release connection-related resources.","~IConnection()","None","None","No parameters required.","None","Cleans up the connection resources."
"IConnection.h","GetHandle()",,"Retrieves the connection handle associated with the object.","const ConnectionHandle &GetHandle()","None","None","No parameters required.","ConnectionHandle &","Provides the connection handle used to create this connection."
"IConnection.h","IsOpen()",,"Checks if the connection is currently open and operational.","bool IsOpen()","None","None","No parameters required.","bool","Returns true if the connection is open; false otherwise."
"IConnection.h","GetDeviceInfo()",,"Retrieves details about the connected device, including firmware and hardware versions.","DeviceInfo GetDeviceInfo()","None","None","No parameters required.","DeviceInfo","Returns a structure containing device information like versions and serial number."
"IConnection.h","TransactSPI(addr, ...)",,"Executes a bulk SPI read/write transaction with the device.","int TransactSPI(int addr, const uint32_t *writeData, uint32_t *readData, size_t size)","addr, writeData, readData, size","int, uint32_t*, uint32_t*, size_t","SPI address, data to write, read data buffer, and transaction count.","int","Returns success or failure code for the SPI transaction."
"IConnection.h","WriteI2C(addr, data)",,"Writes data to an I2C slave device.","int WriteI2C(int addr, const std::string &data)","addr, data","int, std::string","I2C slave address and data to write.","int","Returns success or failure code for the I2C write operation."
"IConnection.h","ReadI2C(addr, numBytes, data)",,"Reads data from an I2C slave device.","int ReadI2C(int addr, size_t numBytes, std::string &data)","addr, numBytes, data","int, size_t, std::string &","I2C slave address, number of bytes to read, and buffer for read data.","int","Returns success or failure code for the I2C read operation."
"IConnection.h","DeviceReset(ind)",,"Performs a reset operation on the connected device.","int DeviceReset(int ind = 0)","ind","int","Index for specifying the target device for reset (optional).","int","Returns success or failure code for the reset operation."
"IConnection.h","ProgramWrite(buffer, ...)",,"Uploads binary data to the device memory, such as RAM, FLASH, or EEPROM.","int ProgramWrite(const char *buffer, size_t length, int programmingMode, int index, ProgrammingCallback callback = 0)","buffer, length, programmingMode, index, callback","const char*, size_t, int, int, ProgrammingCallback","Binary data, length, programming mode, target device index, and optional callback.","int","Returns success or failure code for the programming operation."
"IConnection.h","ProgramMCU(buffer, ...)","MCU_PROG_MODE","Uploads program to the device's MCU using specified programming modes.","int ProgramMCU(const uint8_t *buffer, size_t length, MCU_PROG_MODE mode, ProgrammingCallback callback = 0)","buffer, length, mode, callback","const uint8_t*, size_t, MCU_PROG_MODE, ProgrammingCallback","Binary data, length, programming mode, and optional callback.","int","Returns success code for MCU programming."
"IConnection.h","GPIOWrite(buffer, bufLength)",,"Writes values to the device's GPIO pins.","int GPIOWrite(const uint8_t *buffer, size_t bufLength)","buffer, bufLength","const uint8_t*, size_t","GPIO values to write and their buffer length.","int","Returns success code for GPIO write operation."
"IConnection.h","GPIORead(buffer, bufLength)",,"Reads values from the device's GPIO pins.","int GPIORead(uint8_t *buffer, size_t bufLength)","buffer, bufLength","uint8_t*, size_t","Buffer to store GPIO values and its length.","int","Returns success code for GPIO read operation."
"limeRFE.h","RFE_Open","RFE_I2C_ADDRESS","Opens a LimeRFE device for communication.","RFE_Open(const char* serialport, lms_device_t* dev)","serialport, dev","const char*, lms_device_t*","Serial port for USB or SDR device for board control.","rfe_dev_t*","Returns a handle for the LimeRFE device."
"limeRFE.h","RFE_Close",,"Closes an opened LimeRFE device.","RFE_Close(rfe_dev_t* rfe)","rfe","rfe_dev_t*","Handle obtained from RFE_Open.","void","Releases the device handle."
"limeRFE.h","RFE_GetInfo",,"Retrieves LimeRFE firmware, hardware version, and status bytes.","RFE_GetInfo(rfe_dev_t* rfe, unsigned char* cinfo)","rfe, cinfo","rfe_dev_t*, unsigned char*","Device handle and output buffer for firmware, hardware, and status info.","int","Returns 0 on success; error code otherwise."
"limeRFE.h","RFE_LoadConfig",,"Loads LimeRFE configuration from an .ini file.","RFE_LoadConfig(rfe_dev_t* rfe, const char* filename)","rfe, filename","rfe_dev_t*, const char*","Device handle and path to the configuration file.","int","Returns 0 on success; error code otherwise."
"limeRFE.h","RFE_Reset",,"Resets the LimeRFE board.","RFE_Reset(rfe_dev_t* rfe)","rfe","rfe_dev_t*","Device handle.","int","Returns 0 on success; error code otherwise."
"limeRFE.h","RFE_Configure",,"Configures the LimeRFE device with specified parameters.","RFE_Configure(rfe_dev_t* rfe, char channelIDRX, ...)","rfe, channelIDRX, channelIDTX, portRX, portTX, mode, notch, attenuation, enableSWR, sourceSWR","rfe_dev_t*, char, ...","Device handle and parameters like channels, ports, modes, notch, attenuation, and SWR configuration.","int","Returns 0 on success; error code otherwise."
"limeRFE.h","RFE_ConfigureState",,"Configures the LimeRFE device using a state structure.","RFE_ConfigureState(rfe_dev_t* rfe, rfe_boardState state)","rfe, state","rfe_dev_t*, rfe_boardState","Device handle and configuration state structure.","int","Returns 0 on success; error code otherwise."
"limeRFE.h","RFE_GetState",,"Retrieves the current state of the LimeRFE device.","RFE_GetState(rfe_dev_t* rfe, rfe_boardState* state)","rfe, state","rfe_dev_t*, rfe_boardState*","Device handle and output state structure pointer.","int","Returns 0 on success; error code otherwise."
"limeRFE.h","RFE_Mode","RFE_MODE_RX, RFE_MODE_TX, ...","Sets the LimeRFE mode (e.g., receive, transmit, or both).","RFE_Mode(rfe_dev_t* rfe, int mode)","rfe, mode","rfe_dev_t*, int","Device handle and operation mode.","int","Returns 0 on success; error code otherwise."
"limeRFE.h","RFE_ReadADC","RFE_ADC1, RFE_ADC2","Reads the specified ADC value.","RFE_ReadADC(rfe_dev_t* rfe, int adcID, int* value)","rfe, adcID, value","rfe_dev_t*, int, int*","Device handle, ADC identifier, and output value.","int","Returns 0 on success; error code otherwise."
"limeRFE.h","RFE_ConfGPIO","RFE_GPIO4, RFE_GPIO5","Configures a GPIO pin as input or output.","RFE_ConfGPIO(rfe_dev_t* rfe, int gpioNum, int dir)","rfe, gpioNum, dir","rfe_dev_t*, int, int","Device handle, GPIO pin number, and direction (input/output).","int","Returns 0 on success; error code otherwise."
"limeRFE.h","RFE_SetGPIO",,"Sets the value of a GPIO pin configured as output.","RFE_SetGPIO(rfe_dev_t* rfe, int gpioNum, int val)","rfe, gpioNum, val","rfe_dev_t*, int, int","Device handle, GPIO pin number, and value to set.","int","Returns 0 on success; error code otherwise."
"limeRFE.h","RFE_GetGPIO",,"Reads the value of a GPIO pin configured as input.","RFE_GetGPIO(rfe_dev_t* rfe, int gpioNum, int* val)","rfe, gpioNum, val","rfe_dev_t*, int, int*","Device handle, GPIO pin number, and output value pointer.","int","Returns 0 on success; error code otherwise."
"limeRFE.h","RFE_AssignSDRChannels",,"Assigns LimeRFE Rx and Tx to specific SDR board channels.","RFE_AssignSDRChannels(rfe_dev_t* rfe, int rxChan, int txChan)","rfe, rxChan, txChan","rfe_dev_t*, int, int","Device handle and SDR channel indices for Rx and Tx.","int","Returns 0 on success; error code otherwise."
"limeRFE.h","RFE_Fan",,"Enables or disables the LimeRFE fan.","RFE_Fan(rfe_dev_t* rfe, int enable)","rfe, enable","rfe_dev_t*, int","Device handle and fan state (0 for off, 1 for on).","int","Returns 0 on success; error code otherwise."
"LimeSuite.h","LMS_GetDeviceList","LMS_SUCCESS, LMS_TESTSIG_NONE, ...","Obtains a list of Lime devices attached to the system.","LMS_GetDeviceList(lms_info_str_t *dev_list)","dev_list","lms_info_str_t*","List to hold available devices.","int","Number of devices found; returns (-1) on failure."
"LimeSuite.h","LMS_Open",,"Opens a device specified by the provided device info string.","LMS_Open(lms_device_t **device, const lms_info_str_t info, void *args)","device, info, args","lms_device_t**, lms_info_str_t, void*","Device handle, device info string, and additional arguments.","int","Returns 0 on success; (-1) on failure."
"LimeSuite.h","LMS_Close",,"Closes a device handle previously obtained via LMS_Open.","LMS_Close(lms_device_t *device)","device","lms_device_t*","Device handle to close.","int","Returns 0 on success; (-1) on failure."
"LimeSuite.h","LMS_Init","LMS_TESTSIG_NCODIV8, LMS_CH_TX, LMS_PATH_TX1","Configures the LMS chip, making it ready for operation.","LMS_Init(lms_device_t *device)","device","lms_device_t*","Device handle previously obtained by LMS_Open.","int","Returns 0 on success; (-1) on failure."
"LimeSuite.h","LMS_SetSampleRate","LMS_FMT_F32, LMS_FMT_I16","Sets sampling rate for all RX/TX channels.","LMS_SetSampleRate(lms_device_t *device, float_type rate, size_t oversample)","device, rate, oversample","lms_device_t*, float_type, size_t","Device handle, sampling rate, and RF oversampling ratio.","int","Returns 0 on success; (-1) on failure."
"LimeSuite.h","LMS_GetSampleRateRange","LMS_PATH_LNAH, LMS_PATH_LNAW","Gets the supported range of sampling rates.","LMS_GetSampleRateRange(lms_device_t *device, bool dir_tx, lms_range_t *range)","device, dir_tx, range","lms_device_t*, bool, lms_range_t*","Device handle, direction (TX/RX), and structure to hold range details.","int","Returns 0 on success; (-1) on failure."
"LimeSuite.h","LMS_SetLOFrequency","LMS_CLOCK_REF, LMS_CLOCK_TXTSP","Sets RF center frequency for a given channel.","LMS_SetLOFrequency(lms_device_t *device, bool dir_tx, size_t chan, float_type frequency)","device, dir_tx, chan, frequency","lms_device_t*, bool, size_t, float_type","Device handle, direction (TX/RX), channel index, and desired RF center frequency.","int","Returns 0 on success; (-1) on failure."
"LimeSuite.h","LMS_Calibrate","LMS_CLOCK_EXTREF, LMS_CLOCK_SXR","Performs automatic calibration of the RX/TX channels.","LMS_Calibrate(lms_device_t *device, bool dir_tx, size_t chan, double bw, unsigned flags)","device, dir_tx, chan, bw, flags","lms_device_t*, bool, size_t, double, unsigned","Device handle, direction (TX/RX), channel, bandwidth, and calibration flags.","int","Returns 0 on success; (-1) on failure."
"LimeSuite.h","LMS_SetNormalizedGain","LMS_ALIGN_CH_PHASE","Sets combined gain value in normalized range [0, 1.0].","LMS_SetNormalizedGain(lms_device_t *device, bool dir_tx, size_t chan, float_type gain)","device, dir_tx, chan, gain","lms_device_t*, bool, size_t, float_type","Device handle, direction (TX/RX), channel index, and desired normalized gain.","int","Returns 0 on success; (-1) on failure."
"LimeSuite.h","LMS_GetChipTemperature","BOARD_PARAM_TEMP, LMS_DEV_INFO","Reads the internal temperature sensor of LMS7 chip.","LMS_GetChipTemperature(lms_device_t *device, size_t ind, float_type *temp)","device, ind, temp","lms_device_t*, size_t, float_type*","Device handle, chip index, and pointer for temperature value.","int","Returns 0 on success; (-1) on failure."
"LimeSuite.h","LMS_SetupStream","LMS_NCO_VAL_COUNT, LMS_GFIR3","Creates a stream for sending or receiving IQ data samples.","LMS_SetupStream(lms_device_t *device, lms_stream_t *stream)","device, stream","lms_device_t*, lms_stream_t*","Device handle and structure for stream configuration.","int","Returns 0 on success; (-1) on failure."
"LimeSuiteConfig.h","LIME_API","LIME_HELPER_DLL_EXPORT","Macro definition for API visibility in shared or static library builds.","LIME_API","None","None","Indicates whether the symbol is visible or hidden in the compiled library.","None","Not applicable."
"LimeSuiteConfig.h",,"LIME_DLL","Preprocessor directive for dynamic linking support.","#ifdef LIME_DLL","None","None","Defined if LimeSuite is built as a shared dynamic-link library (DLL).","None","Not applicable."
"LimeSuiteConfig.h",,"LIME_LOCAL","Macro for defining non-public symbols in library builds.","#define LIME_LOCAL","None","None","Marks internal-use-only API symbols in static or dynamic library builds.","None","Not applicable."
"LimeSuiteConfig.h",,"LIME_HELPER_DLL_IMPORT","Macro indicating a DLL import (visibility modifier).","__declspec(dllimport) (on Windows)","None","None","Used for importing symbols from another DLL.","None","Not applicable."
"LimeSuiteConfig.h",,"LIME_HELPER_DLL_EXPORT","Macro indicating a DLL export (visibility modifier).","__declspec(dllexport) (on Windows)","None","None","Used for exporting symbols from the compiled LimeSuite library.","None","Not applicable."
"LimeSuiteConfig.h",,"LIME_HELPER_DLL_LOCAL","Macro for marking symbols as hidden in shared builds.","__attribute__((visibility(""hidden""))) (on GCC)","None","None","Used to restrict visibility of certain symbols to within the shared library.","None","Not applicable."
"LimeSuiteConfig.h",,"LIME_DLL_EXPORTS","Preprocessor directive indicating DLL compilation mode.","#ifdef LIME_DLL_EXPORTS","None","None","Defined when LimeSuite is being built as a DLL.","None","Not applicable."
"lms7_device.h","LMS7_Device",,"Constructor for initializing an LMS7 device object.","LMS7_Device(LMS7_Device *obj)","obj","LMS7_Device*","Optional pointer to clone another LMS7 device object.","None","Creates a new LMS7 device object."
"lms7_device.h","~LMS7_Device",,"Destructor for cleaning up LMS7 device resources.","~LMS7_Device()","None","None","No parameters required.","None","Cleans up all resources allocated for LMS7 device."
"lms7_device.h","Init",,"Initializes the LMS7 device.","Init()","None","None","No parameters required.","int","Returns 0 on success; error code otherwise."
"lms7_device.h","EnableChannel",,"Enables or disables a specific RX or TX channel.","EnableChannel(bool dir_tx, unsigned chan, bool enabled)","dir_tx, chan, enabled","bool, unsigned, bool","Direction (TX/RX), channel index, and enable/disable flag.","int","Returns 0 on success; error code otherwise."
"lms7_device.h","Reset",,"Resets the LMS7 device.","Reset()","None","None","No parameters required.","int","Returns 0 on success; error code otherwise."
"lms7_device.h","SetRate",,"Configures the sample rate for RX/TX channels.","SetRate(double f_MHz, int oversample)","f_MHz, oversample","double, int","Sample rate in MHz and oversampling factor.","int","Returns 0 on success; error code otherwise."
"lms7_device.h","SetFrequency",,"Sets the RF center frequency for a given channel.","SetFrequency(bool tx, unsigned chan, double f_Hz)","tx, chan, f_Hz","bool, unsigned, double","Direction (TX/RX), channel index, and center frequency in Hz.","int","Returns 0 on success; error code otherwise."
"lms7_device.h","GetGain",,"Retrieves the gain for a specified channel.","GetGain(bool dir_tx, unsigned chan, const std::string &name)","dir_tx, chan, name","bool, unsigned, std::string","Direction (TX/RX), channel index, and gain block name.","double","Returns the current gain value."
"lms7_device.h","SetGFIRCoef",,"Configures GFIR coefficients for a specific channel.","SetGFIRCoef(bool tx, unsigned chan, lms_gfir_t filt, const double* coef, unsigned count)","tx, chan, filt, coef, count","bool, unsigned, lms_gfir_t, double*, unsigned","Direction (TX/RX), channel, filter type, coefficient array, and number of coefficients.","int","Returns 0 on success; error code otherwise."
"lms7_device.h","GetHardwareTimestamp",,"Retrieves the current hardware timestamp of the LMS7 device.","GetHardwareTimestamp()","None","None","No parameters required.","uint64_t","Returns the current timestamp in hardware ticks."
